GalaxyID,M_diskgas,a_diskgas,M_bulge,a_bulge
CamB,926660619.1332695,4.762032152005869,0.0,0.0
D512-2,1518723386.2406073,5.506004845446577,0.0,0.0
D564-8,266650790.8941613,3.3762992308752007,0.0,0.0
D631-7,1334202487.2035737,3.005233045977029,0.0,0.0
DDO154,1906736028.989245,6.529648395836411,0.0,0.0
DDO161,11651066116.844145,11.17515068653905,0.0,0.0
DDO168,2788211503.7227907,4.405880886193455,0.0,0.0
DDO170,17329106864.55557,19.774310123437644,0.0,0.0
ESO079-G014,732660539776.9615,54.115562364541894,0.0,0.0
ESO116-G012,17214153448.837124,7.4773367797183425,0.0,0.0
ESO444-G084,946001685.6004319,2.672815352132568,0.0,0.0
ESO563-G021,360493645460.22125,22.130820859631246,0.0,0.0
F561-1,736738963255.5382,112.26909827217453,0.0,0.0
F563-1,50241585425.39221,34.429823254672044,0.0,0.0
F563-V1,1698789202045.1504,271.73067035265893,0.0,0.0
F563-V2,336851537001.2569,67.57154998985712,0.0,0.0
F567-2,29406976597.0987,25.15689013421386,0.0,0.0
F568-3,288858557671.5312,68.75190366281848,0.0,0.0
F568-V1,43583882306.00513,23.5402836955777,0.0,0.0
F571-8,5078936690.317733,2.1486405274794085,0.0,0.0
F571-V1,26485970927.62528,20.06281323889042,0.0,0.0
F574-1,61072501845.50772,28.32323839909797,0.0,0.0
F579-V1,75996468566.92009,21.495062052001973,0.0,0.0
F583-4,15405034776.125532,14.396100911155532,0.0,0.0
IC4202,970216603262.9788,55.383860548870445,8626674610.888496,1.8165595819865998
NGC0024,12741946398.272766,3.949968755137598,0.0,0.0
NGC0055,29935536925.30964,14.78106993752329,0.0,0.0
NGC0100,8586217007.323549,6.534500316048768,0.0,0.0
NGC0247,122614920720.12718,32.456313723682655,0.0,0.0
NGC0289,84169735362.9726,3.9626195808550717,0.0,0.0
NGC0300,9620635286.56568,6.836164267358928,0.0,0.0
NGC0801,356097256956.85504,7.330560272009086,0.0,0.0
NGC0891,71873303556.31363,4.219086388419893,11669041315.60068,0.17722768261563498
NGC1003,13799212613.954395,3.7168911513074145,0.0,0.0
NGC1090,106107883742.85138,8.572389397180803,0.0,0.0
NGC1705,783297858.6169409,0.662737535023164,0.0,0.0
NGC2366,15419218636.206196,15.590848738717813,0.0,0.0
NGC2403,21042426312.00695,3.901782036738386,0.0,0.0
NGC2683,66248037441.99613,2.458974919841069,3671957257.4377327,0.0028927189975983597
NGC2841,292985629361.37085,6.9023878544942106,38949917370.68415,0.005571331087022758
NGC2903,48759254547.91492,2.262890098019216,0.0,0.0
NGC2915,924102103.0777919,1.0311501242788048,0.0,0.0
NGC2955,370332987182.98535,18.017174956156396,85678725002.12732,2.198645730613859
NGC2998,233821444915.2822,11.418444667466472,0.0,0.0
NGC3109,22093791717.23925,28.02901385546862,0.0,0.0
NGC3198,64384158632.16899,8.556660449497768,0.0,0.0
NGC3521,89825517685.09653,2.65878404554026,0.0,0.0
NGC3726,102602423234.12856,6.656905828061845,0.0,0.0
NGC3741,593697386.0109031,3.4540134313317994,0.0,0.0
NGC3769,18412437914.941105,2.554172226574277,0.0,0.0
NGC3877,407502269776.8984,26.209046342240445,0.0,0.0
NGC3893,53369508802.475044,2.7339686279474815,0.0,0.0
NGC3917,139757840401.56824,20.708170311887923,0.0,0.0
NGC3949,60950380917.463806,3.8434741107663886,0.0,0.0
NGC3953,327359742281.65497,11.18904942745783,0.0,0.0
NGC3972,128181183198.28365,19.355494199021738,0.0,0.0
NGC3992,281726583458.3741,9.10273565966763,0.0,0.0
NGC4010,81186007199.32892,14.742584795670576,0.0,0.0
NGC4013,49477349215.024864,1.0232000024089514,12667065210.662424,0.08519414697920624
NGC4051,129619051499.71284,8.717586577717567,0.0,0.0
NGC4085,50565801317.16285,6.133752567336811,0.0,0.0
NGC4088,157429033997.46072,7.7475178985874145,0.0,0.0
NGC4100,79216596590.38487,5.46219659377255,0.0,0.0
NGC4138,27455878904.55999,1.1234932776592037,5775403067.093559,0.0010389526798757777
NGC4157,125752769626.1556,5.4344748366141555,1313766311.5340736,2.7752288514776553e-08
NGC4183,37233885226.67116,10.804639291476954,0.0,0.0
NGC4214,1416825504.4797423,0.9441322696374096,0.0,0.0
NGC4217,77193221475.40735,14.043398656810584,28339571884.637516,2.2753973577461357
NGC4389,64489111177.46303,8.980807466112836,0.0,0.0
NGC4559,39356183977.69952,6.819621875065913,0.0,0.0
NGC5005,303875168420.14136,7.392109694417038,15023006343.815405,0.40752332840814676
NGC5033,72309645944.61632,4.628212916163306,12320368629.62913,0.30747998584205316
NGC5055,75742811981.17247,3.8856070877063096,0.0,0.0
NGC5371,337906981153.14404,10.718278200209772,0.0,0.0
NGC5585,9105683389.858925,5.78467842930925,0.0,0.0
NGC5907,250175237112.4893,9.780729146411154,0.0,0.0
NGC5985,417281722002.3189,29.831223554523064,7364410066.159245,0.0027614263855035006
NGC6015,59048055819.06499,5.709709583371159,0.0,0.0
NGC6195,930314003860.1167,38.44806846707679,110526343026.11568,2.2569891884669406
NGC6503,11579387918.893587,2.009384422669336,0.0,0.0
NGC6674,379974407845.0535,10.015112699409604,13673033819.830671,0.01128389882301105
NGC6789,19334898796.633533,11.145953008691468,0.0,0.0
NGC6946,91818490114.24438,5.73219098785606,2419381935.7154784,0.062218789577309586
NGC7331,170619108055.3934,3.2669497236124188,7138652081.335841,0.0004898964850069461
NGC7793,23016173118.180836,4.79277251772103,0.0,0.0
NGC7814,36632459464.64968,5.8571222453437715,32973760630.55726,0.4909240909448494
PGC51017,846466115.4178067,2.7251639389363658,0.0,0.0
UGC00128,62971491375.20296,26.435262852684552,0.0,0.0
UGC00191,19713883444.81202,11.039888535572905,0.0,0.0
UGC00634,25305045991.987335,14.244706917436213,0.0,0.0
UGC00891,5405875640.545508,8.759529263577134,0.0,0.0
UGC01230,54431464853.573166,22.872250793808604,0.0,0.0
UGC01281,948669094128.5477,170.25917388777864,0.0,0.0
UGC02023,239781921538.01038,55.728407266858014,0.0,0.0
UGC02259,15279762846.384708,11.58849521640687,0.0,0.0
UGC02455,11557976835.27094,4.841110270923846,0.0,0.0
UGC02487,491808932166.8421,10.302361212960784,63265110768.94037,0.4229389827123171
UGC02885,533674005873.4074,21.737052468575303,52795162769.61877,0.5841496493013356
UGC02916,497813374048.1279,47.54512076159016,25123949674.43484,1.9582012639898805
UGC02953,303787502709.92725,7.9256305148452135,24448781452.522186,0.7159677604106793
UGC03205,175122034742.63385,11.70499888321267,20167635139.163982,1.0330969843017592
UGC03546,90063205256.89621,4.819681791919573,15063560464.952639,0.0711967474387564
UGC03580,26043868750.01163,4.514124370094948,1445095165.5613682,0.5784516384045064
UGC04305,35446703523.33576,19.66929755712502,0.0,0.0
UGC04325,118520432897.47466,30.353760107270084,0.0,0.0
UGC04483,763385616.4050119,3.340919742681554,0.0,0.0
UGC04499,19582309706.34701,12.744077873456229,0.0,0.0
UGC05005,44895073640.19708,26.034217786129197,0.0,0.0
UGC05253,129317354887.9008,15.357469676147097,79412093614.48247,1.1940916444792542
UGC05414,40320390077.72684,20.227200086829537,0.0,0.0
UGC05716,14891127258.784647,16.259206600899024,0.0,0.0
UGC05721,1495091927.6501913,1.4515288715760994,0.0,0.0
UGC05750,178209407706.57584,72.83982835391248,0.0,0.0
UGC05764,2115089429576.642,241.25540072459037,0.0,0.0
UGC05986,14692381467.317488,6.103766818716222,0.0,0.0
UGC05999,155556868603.1955,51.13666315054198,0.0,0.0
UGC06399,43215047556.001434,21.50618242178726,0.0,0.0
UGC06446,24724943145.963436,17.48910717234855,0.0,0.0
UGC06614,182230064802.819,31.48268019710948,51307034652.507256,0.8245244729063812
UGC06628,162229465679.84033,43.88457743959869,0.0,0.0
UGC06786,80732282419.49074,8.876469717802635,15839238490.879562,0.6706866169370729
UGC06787,143475505886.08017,9.77421269286908,12996993419.538609,0.6332402869076074
UGC06818,6498758914.911088,7.2827240688431285,0.0,0.0
UGC06917,30722100710.105007,11.256701517904878,0.0,0.0
UGC06923,9169493274.19978,4.506160633303705,0.0,0.0
UGC06930,47217898694.68593,15.033650562083977,0.0,0.0
UGC06973,15176244699.386309,0.3189281754995859,3965482894.653894,3.4283197065914056e-12
UGC06983,23584146574.668438,9.664042736188499,0.0,0.0
UGC07089,34858966521.93154,18.07336682467238,0.0,0.0
UGC07125,37094872939.84334,22.405140429677285,0.0,0.0
UGC07151,15064709156.722532,6.496818353437063,0.0,0.0
UGC07232,2446146369.1395226,3.3167703242169755,0.0,0.0
UGC07261,9000652145.104477,6.453418234789167,0.0,0.0
UGC07323,3488657147055.7573,169.17101045575342,0.0,0.0
UGC07399,4229940075.5570974,3.924455988662119,0.0,0.0
UGC07559,19481522737.930897,21.253323005927736,0.0,0.0
UGC07603,1264211143.9361792,2.19832631021749,0.0,0.0
UGC07690,1810948080.0422523,1.3628990325554113,0.0,0.0
UGC07866,37548816823.60683,30.07980414070328,0.0,0.0
UGC08286,9232616093.93423,8.218749181214758,0.0,0.0
UGC08490,2751661352.186682,1.9335236775558995,0.0,0.0
UGC08550,1565944184.8936248,2.9636770325527455,0.0,0.0
UGC08699,71722090169.58087,5.617628587207967,11297920758.529655,0.4034820095719161
UGC09037,94500954502.42113,11.969834170494156,0.0,0.0
UGC09133,319351987037.722,9.993720347362245,51252261112.790085,1.157086969341198
UGC09992,3201392641.8658442,5.806416772133727,0.0,0.0
UGC10310,123539247192.69902,40.323635191263456,0.0,0.0
UGC11455,573466048643.6533,18.448550324209194,0.0,0.0
UGC11557,68330075659.06217,14.73911755644102,0.0,0.0
UGC11820,19507647275.210636,14.001482425478189,0.0,0.0
UGC11914,378227484989.1758,13.746820380735702,42109251524.90841,0.9210701819306163
UGC12506,317999390481.1227,22.636310177042372,0.0,0.0
UGC12632,1114211128895.345,182.62202779089577,0.0,0.0
UGC12732,169475605379.81943,62.95612809445443,0.0,0.0
UGCA281,1593194718.900444,3.8592711387771104,0.0,0.0
UGCA442,2805234663.588319,6.0841831477022525,0.0,0.0
UGCA444,6534445558.292234,13.041361369887085,0.0,0.0
